well,date,Li,B,Na,Mg,Al,Si,K,Ca,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Rb,Sr,Y,Mo,Sb,Cs,Ba,Nd,Gd,Er,Tl,Pb,U,F,Cl,NO3,SO4,PO4,DOC,temperature,EC,Eh,pH,d2H,d18O,d_excess,UTM_E,UTM_N
w01,2019/04,0.94,8.88,8654.0,3045.0,15.9,8262.0,2240.0,10026.0,0.52,0.37,388.0,7233.0,0.5,0.21,0.07,1.18,0.013,0.019,0.6,6.98,129.0,0.31,0.17,0.01,0.08,264.0,0.333,0.049,0.025,0.004,0.05,0.004,0.15,8.04,0.02,0.42,0.12,2.8,22.7,120.0,212.9,6.09,-18.2,-2.78,4.04,287013.0,7484335.0
w04,2019/04,0.59,7.49,18664.0,4784.0,0.74,9679.0,3455.0,18351.0,0.3,0.13,249.0,61.5,0.23,0.29,0.12,1.46,0.004,0.006,0.26,11.3,218.0,0.06,0.1,0.01,0.3,345.0,0.027,0.012,0.011,0.036,0.023,0.016,0.14,21.8,0.88,5.45,0.07,2.4,22.5,220.1,259.9,6.14,-26.7,-5.0,13.3,286989.0,7484336.0
w07,2019/04,3.38,11.3,19120.0,4043.0,6.66,11980.0,4405.0,50246.0,0.32,0.11,12.2,9.87,0.11,0.61,6.86,30.5,0.019,0.015,0.09,17.3,422.0,0.02,0.23,0.05,0.24,217.0,0.011,0.003,0.003,0.027,0.02,0.173,0.19,9.04,2.92,21.6,0.14,1.5,24.1,294.1,300.8,6.68,-37.8,-6.76,16.28,286886.0,7484330.0
w11,2019/04,1.17,9.51,11487.0,3493.0,52.4,10944.0,4419.0,8585.0,0.5,0.16,81.7,6.62,0.12,0.45,0.17,6.23,0.016,0.016,0.08,9.08,82.8,0.87,0.01,0.01,0.16,712.0,0.926,0.139,0.061,0.314,0.044,0.01,0.1,16.1,17.6,2.87,0.16,0.69,24.0,126.6,322.8,5.31,-37.9,-5.73,7.94,286853.0,7484452.0
w12,2019/04,1.54,12.65,21310.0,5907.0,48.6,8504.0,7999.0,26029.0,3.29,0.37,418.0,23.0,0.97,1.58,0.68,19.3,0.039,0.039,0.31,19.8,301.0,1.77,0.69,0.06,0.3,317.0,2.507,0.291,0.124,0.238,0.031,0.027,0.15,17.7,11.9,49.1,0.13,2.4,25.2,277.6,316.9,5.8,-18.5,-2.8,3.9,286858.0,7484360.0
w14,2019/04,1.08,3.76,14329.0,3631.0,24.1,10381.0,2320.0,1823.0,0.17,0.66,27.9,8.87,0.1,0.27,0.49,2.23,0.004,0.005,0.05,5.23,33.8,0.16,0.005,0.01,0.04,401.0,0.187,0.028,0.012,0.081,0.038,0.006,0.011,15.1,26.3,0.77,0.1,0.63,23.4,113.6,332.3,5.13,-36.2,-7.19,21.32,286868.0,7484512.0
w16,2019/04,0.74,7.62,13720.0,7395.0,0.58,8026.0,2888.0,26709.0,0.22,0.17,259.0,813.0,0.65,0.62,0.06,15.2,0.003,0.013,0.49,11.4,205.0,0.06,0.33,0.03,0.16,238.0,0.015,0.005,0.004,0.028,0.012,0.027,0.13,17.2,0.02,1.29,0.15,1.7,22.5,199.7,259.3,6.27,-26.7,-5.0,13.3,286900.0,7484389.0
w18,2019/04,0.29,5.44,14552.0,3804.0,7.04,8513.0,3841.0,9912.0,0.29,0.34,10.1,3.71,0.03,0.08,0.42,1.95,0.009,0.008,0.07,10.6,143.0,0.39,0.01,0.02,0.13,202.0,0.653,0.077,0.023,0.048,0.029,0.014,0.031,16.8,12.3,3.71,0.13,1.4,26.0,144.2,328.9,5.71,-33.6,-6.76,20.48,287294.0,7484704.0
w19,2019/04,0.96,6.2,11433.0,3446.0,4.23,10558.0,2074.0,15251.0,0.2,0.14,484.0,485.0,2.32,0.22,0.06,3.09,0.009,0.009,0.07,7.55,123.0,0.08,0.01,0.01,0.15,461.0,0.093,0.015,0.005,0.104,0.015,0.027,0.021,11.6,10.9,0.95,0.21,0.97,24.9,138.6,301.4,5.73,-31.8,-6.45,19.8,287316.0,7484622.0
w27,2019/04,0.93,4.34,16358.0,4695.0,2.64,14309.0,2150.0,16716.0,0.33,0.32,451.0,6449.0,1.54,0.38,0.1,2.74,0.009,0.017,0.25,5.63,194.0,0.1,0.04,0.01,0.09,406.0,0.064,0.012,0.006,0.03,0.013,0.014,0.13,25.4,4.58,2.35,0.16,2.0,24.4,218.0,251.3,6.14,-29.6,-5.57,14.96,287302.0,7484268.0
