well,date,Li,Be,B,Na,Mg,Al,Si,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Rb,Sr,Y,Zr,Nb,Mo,Ag,Cd,Sn,Sb,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Tl,Pb,Bi,Th,U,NH4,F,Cl,NO2,NO3,SO4,PO4,DOC,temperature,EC,Eh,TDS,pH,d2H,d18O,d_excess,UTM_E,UTM_N
w01,2019/04,0.94,0.03,8.88,8654,3045,15.9,8262,2240,10026,0.8,0.3,0.52,0.37,388,7233,0.5,0.21,0.07,1.18,0.013,0.019,0.6,1.3,6.98,129,0.31,0.02,0.016,0.17,0.0028,0.008,0.14,0.01,0.08,264,0.199,0.73,0.065,0.333,0.058,0.015,0.049,0.006,0.032,0.008,0.025,0.004,0.025,0.004,0.001,0.01,0.003,0.004,0.05,0.0014,0.007,0.004,0.55,0.15,8.04,<LQ,<LQ,0.42,0.12,2.8,22.7,120,212.9,78,6.09,-18.2,-2.78,4.04,287013,7484335
w04,2019/04,0.59,0.01,7.49,18664,4784,0.74,9679,3455,18351,0.8,0.41,0.3,0.13,249,61.5,0.23,0.29,0.12,1.46,0.004,0.006,0.26,1.3,11.3,218,0.06,0.008,0.016,0.1,0.0028,0.01,0.14,0.01,0.3,345,0.025,0.048,0.005,0.027,0.007,0.004,0.012,0.001,0.007,0.002,0.011,0.002,0.028,0.006,0.001,0.01,0.003,0.036,0.023,0.0014,0.01,0.016,4.98,0.14,21.8,<LQ,0.88,5.45,0.07,2.4,22.5,220.1,259.9,143.07,6.14,-26.7,-5,13.3,286989,7484336
w07,2019/04,3.38,0.014,11.3,19120,4043,6.66,11980,4405,50246,0.45,1.85,0.32,0.11,12.2,9.87,0.11,0.61,6.86,30.5,0.019,0.015,0.09,1.3,17.3,422,0.02,0.008,0.016,0.23,0.0028,0.02,0.14,0.05,0.24,217,0.019,0.019,0.003,0.011,0.003,0.001,0.003,0,0.002,0.001,0.003,0.001,0.006,0.001,0.001,0.01,0.003,0.027,0.02,0.0014,0.01,0.173,<LQ,0.19,9.04,<LQ,2.92,21.6,0.14,1.5,24.1,294.1,300.8,191.17,6.68,-37.8,-6.76,16.28,286886,7484330
w11,2019/04,1.17,0.31,9.51,11487,3493,52.4,10944,4419,8585,0.8,0.41,0.5,0.16,81.7,6.62,0.12,0.45,0.17,6.23,0.016,0.016,0.08,1.3,9.08,82.8,0.87,0.008,0.016,0.01,0.0028,0.06,0.14,0.01,0.16,712,1.265,2.599,0.245,0.926,0.159,0.043,0.139,0.02,0.11,0.022,0.061,0.008,0.052,0.008,0.001,0.01,0.003,0.314,0.044,0.0014,0.01,0.01,<LQ,0.1,16.1,<LQ,17.6,2.87,0.16,0.69,24,126.6,322.8,82.29,5.31,-37.9,-5.73,7.94,286853,7484452
w12,2019/04,1.54,0.59,12.65,21310,5907,48.6,8504,7999,26029,0.38,3.5,3.29,0.37,418,23,0.97,1.58,0.68,19.3,0.039,0.039,0.31,1.3,19.8,301,1.77,0.01,0.016,0.69,0.0028,0.29,0.14,0.06,0.3,317,3.552,8.78,0.65,2.507,0.386,0.084,0.291,0.039,0.204,0.042,0.124,0.017,0.116,0.019,0.001,0.01,0.003,0.238,0.031,0.0014,0.01,0.027,0.37,0.15,17.7,<LQ,11.9,49.1,0.13,2.4,25.2,277.6,316.9,180.44,5.8,-18.5,-2.8,3.9,286858,7484360
w14,2019/04,1.08,0.2,3.76,14329,3631,24.1,10381,2320,1823,0.8,0.15,0.17,0.66,27.9,8.87,0.1,0.27,0.49,2.23,0.004,0.005,0.05,1.3,5.23,33.8,0.16,0.008,0.016,0.005,0.0028,0.01,0.14,0.01,0.04,401,0.26,0.541,0.048,0.187,0.033,0.012,0.028,0.004,0.022,0.004,0.012,0.002,0.011,0.002,0.001,0.01,0.003,0.081,0.038,0.0014,0.01,0.006,<LQ,0.011,15.1,<LQ,26.3,0.77,0.1,0.63,23.4,113.6,332.3,73.84,5.13,-36.2,-7.19,21.32,286868,7484512
w16,2019/04,0.74,0.01,7.62,13720,7395,0.58,8026,2888,26709,0.8,0.26,0.22,0.17,259,813,0.65,0.62,0.06,15.2,0.003,0.013,0.49,1.3,11.4,205,0.06,0.008,0.016,0.33,0.0028,0.01,0.14,0.03,0.16,238,0.016,0.024,0.003,0.015,0.004,0.001,0.005,0.001,0.004,0.001,0.004,0.001,0.006,0.001,0.001,0.01,0.003,0.028,0.012,0.0014,0.01,0.027,<LQ,0.13,17.2,<LQ,<LQ,1.29,0.15,1.7,22.5,199.7,259.3,129.81,6.27,-26.7,-5,13.3,286900,7484389
w18,2019/04,0.29,0.03,5.44,14552,3804,7.04,8513,3841,9912,0.8,0.43,0.29,0.34,10.1,3.71,0.03,0.08,0.42,1.95,0.009,0.008,0.07,1.3,10.6,143,0.39,0.008,0.016,0.01,0.0028,0.01,0.14,0.02,0.13,202,0.987,0.391,0.174,0.653,0.088,0.018,0.077,0.008,0.041,0.008,0.023,0.003,0.019,0.003,0.001,0.01,0.003,0.048,0.029,0.0014,0.01,0.014,<LQ,0.031,16.8,<LQ,12.3,3.71,0.13,1.4,26,144.2,328.9,93.73,5.71,-33.6,-6.76,20.48,287294,7484704
w19,2019/04,0.96,0.06,6.2,11433,3446,4.23,10558,2074,15251,0.8,0.25,0.2,0.14,484,485,2.32,0.22,0.06,3.09,0.009,0.009,0.07,1.3,7.55,123,0.08,0.008,0.016,0.01,0.0028,0.01,0.14,0.01,0.15,461,0.176,0.187,0.024,0.093,0.013,0.009,0.015,0.002,0.008,0.001,0.005,0.001,0.003,0.001,0.001,0.01,0.003,0.104,0.015,0.0014,0.01,0.027,<LQ,0.021,11.6,<LQ,10.9,0.95,0.21,0.97,24.9,138.6,301.4,90.09,5.73,-31.8,-6.45,19.8,287316,7484622
w27,2019/04,0.93,0.01,4.34,16358,4695,2.64,14309,2150,16716,0.49,0.4,0.33,0.32,451,6449,1.54,0.38,0.1,2.74,0.009,0.017,0.25,1.3,5.63,194,0.1,0.01,0.016,0.04,0.0028,0.01,0.14,0.01,0.09,406,0.09,0.076,0.014,0.064,0.013,0.007,0.012,0.001,0.008,0.002,0.006,0.001,0.007,0.001,0.001,0.01,0.003,0.03,0.013,0.0014,0.01,0.014,0.43,0.13,25.4,<LQ,4.58,2.35,0.16,2,24.4,218,251.3,141.7,6.14,-29.6,-5.57,14.96,287302,7484268
